combo_id,A_eff,MM_PSF,Alignment,Thermal,Gravity offload,input_file,hew_origin_arcsec,hew_best_arcsec,hew_opt_arcsec,eef90_origin_arcsec,eef90_best_arcsec,eef90_opt_arcsec
17,1 keV,"30% Variable Pseudo-Voigt 8"" (alpha 10%)",0,0,0,20260205T000831Z_17_A_eff1_keV_MM_PSF30_Variable_Pseudo-Voigt_8_alpha_10_Alignment0_Thermal0_Gravity_offload0.xlsx,1.2497644552261462,2.0965728757861006,0.7924018832603369,4.357508504665188,2.0992257763238005,1.4901003141602007
1,1 keV,"Fixed Sym Gaussian 0.01""",0,0,0,20260205T000831Z_1_A_eff1_keV_MM_PSFFixed_Sym_Gaussian_0.01_Alignment0_Thermal0_Gravity_offload0.xlsx,2.7496955646066077,2.8538974552105048,2.9881884204773868,5.567044939612783,5.282967565890162,5.687841649535703
9,1 keV,"10% Variable Pseudo-Voigt 8"" (alpha 10%)",0,0,0,20260205T000831Z_9_A_eff1_keV_MM_PSF10_Variable_Pseudo-Voigt_8_alpha_10_Alignment0_Thermal0_Gravity_offload0.xlsx,1.2497644552261462,2.0965728757861006,0.7924018832603369,4.357508504665188,2.0992257763238005,1.4901003141602007
3,1 keV,"Fixed Sym Gaussian 0.01""",0,30 deg FMS Tilt,0,20260205T000831Z_3_A_eff1_keV_MM_PSFFixed_Sym_Gaussian_0.01_Alignment0_Thermal30_deg_FMS_Tilt_Gravity_offload0.xlsx,2.002358230669755,2.025670636183177,2.0199637045600944,5.147160735630706,4.652532399164078,4.664981884804966
13,1 keV,"10% Variable Pseudo-Voigt 8"" (alpha 10%)",Standard medialario,0,0,20260205T000831Z_13_A_eff1_keV_MM_PSF10_Variable_Pseudo-Voigt_8_alpha_10_AlignmentStandard_medialario_Thermal0_Gravity_offload0.xlsx,0.941860728896761,2.998823521427734,4.820442276488568,4.811005058527072,2.999691259126657,4.82160543669685
2,1 keV,"Fixed Sym Gaussian 0.01""",0,0,GZ,20260205T000831Z_2_A_eff1_keV_MM_PSFFixed_Sym_Gaussian_0.01_Alignment0_Thermal0_Gravity_offloadGZ.xlsx,2.743542391860128,2.6312999420393686,2.6456947147067504,5.161181158465365,5.178649619762412,5.238463698110465
5,1 keV,"Fixed Sym Gaussian 0.01""",Standard medialario,0,0,20260205T000831Z_5_A_eff1_keV_MM_PSFFixed_Sym_Gaussian_0.01_AlignmentStandard_medialario_Thermal0_Gravity_offload0.xlsx,2.2698840657449093,2.40391930590994,2.3404413977511602,4.390111031091948,4.276780769332209,4.269030669306301
10,1 keV,"10% Variable Pseudo-Voigt 8"" (alpha 10%)",0,0,GZ,20260205T000831Z_10_A_eff1_keV_MM_PSF10_Variable_Pseudo-Voigt_8_alpha_10_Alignment0_Thermal0_Gravity_offloadGZ.xlsx,3.1158572653031618,2.634942584500414,3.228675006441438,4.711672925858025,2.638859714465072,3.329325622225744
11,1 keV,"10% Variable Pseudo-Voigt 8"" (alpha 10%)",0,30 deg FMS Tilt,0,20260205T000831Z_11_A_eff1_keV_MM_PSF10_Variable_Pseudo-Voigt_8_alpha_10_Alignment0_Thermal30_deg_FMS_Tilt_Gravity_offload0.xlsx,2.3391130104827504,4.050947104531136,1.7836961409196457,2.3432641706050967,4.054121568263897,1.7850488653802614
21,1 keV,"30% Variable Pseudo-Voigt 8"" (alpha 10%)",Standard medialario,0,0,20260205T000831Z_21_A_eff1_keV_MM_PSF30_Variable_Pseudo-Voigt_8_alpha_10_AlignmentStandard_medialario_Thermal0_Gravity_offload0.xlsx,3.133401793687702,1.454829617747313,4.804097655146902,3.135945772773454,3.555462562060676,6.475106311300454
18,1 keV,"30% Variable Pseudo-Voigt 8"" (alpha 10%)",0,0,GZ,20260205T000831Z_18_A_eff1_keV_MM_PSF30_Variable_Pseudo-Voigt_8_alpha_10_Alignment0_Thermal0_Gravity_offloadGZ.xlsx,3.1158572653031618,2.634942584500414,3.228675006441438,4.711672925858025,2.638859714465072,3.329325622225744
19,1 keV,"30% Variable Pseudo-Voigt 8"" (alpha 10%)",0,30 deg FMS Tilt,0,20260205T000831Z_19_A_eff1_keV_MM_PSF30_Variable_Pseudo-Voigt_8_alpha_10_Alignment0_Thermal30_deg_FMS_Tilt_Gravity_offload0.xlsx,2.3391130104827504,4.050947104531136,1.7836961409196457,2.3432641706050967,4.054121568263897,1.7850488653802614
7,1 keV,"Fixed Sym Gaussian 0.01""",Standard medialario,30 deg FMS Tilt,0,20260205T000831Z_7_A_eff1_keV_MM_PSFFixed_Sym_Gaussian_0.01_AlignmentStandard_medialario_Thermal30_deg_FMS_Tilt_Gravity_offload0.xlsx,1.5410846072775712,1.5661066663778125,1.5582817982757187,3.404396661262004,3.462616055202897,3.4458335417355537
20,1 keV,"30% Variable Pseudo-Voigt 8"" (alpha 10%)",0,30 deg FMS Tilt,GZ,20260205T000831Z_20_A_eff1_keV_MM_PSF30_Variable_Pseudo-Voigt_8_alpha_10_Alignment0_Thermal30_deg_FMS_Tilt_Gravity_offloadGZ.xlsx,1.2813775576168323,1.3504268651645284,1.0048547890946924,1.7764959227038317,1.3521216297937084,6.171461770027129
12,1 keV,"10% Variable Pseudo-Voigt 8"" (alpha 10%)",0,30 deg FMS Tilt,GZ,20260205T000831Z_12_A_eff1_keV_MM_PSF10_Variable_Pseudo-Voigt_8_alpha_10_Alignment0_Thermal30_deg_FMS_Tilt_Gravity_offloadGZ.xlsx,1.2813775576168323,1.3504268651645284,1.0048547890946924,1.7764959227038317,1.3521216297937084,6.171461770027129
15,1 keV,"10% Variable Pseudo-Voigt 8"" (alpha 10%)",Standard medialario,30 deg FMS Tilt,0,20260205T000831Z_15_A_eff1_keV_MM_PSF10_Variable_Pseudo-Voigt_8_alpha_10_AlignmentStandard_medialario_Thermal30_deg_FMS_Tilt_Gravity_offload0.xlsx,0.47178603748085973,1.9722032856047846,1.2596936132879017,2.9218543177529575,1.9731779400129905,2.073056737597553
14,1 keV,"10% Variable Pseudo-Voigt 8"" (alpha 10%)",Standard medialario,0,GZ,20260205T000831Z_14_A_eff1_keV_MM_PSF10_Variable_Pseudo-Voigt_8_alpha_10_AlignmentStandard_medialario_Thermal0_Gravity_offloadGZ.xlsx,2.484277959567686,3.789213352863486,1.7548193162669576,2.485452528905923,3.7914845425670536,2.3858067673517676
22,1 keV,"30% Variable Pseudo-Voigt 8"" (alpha 10%)",Standard medialario,0,GZ,20260205T000831Z_22_A_eff1_keV_MM_PSF30_Variable_Pseudo-Voigt_8_alpha_10_AlignmentStandard_medialario_Thermal0_Gravity_offloadGZ.xlsx,1.3777310428042149,3.770339486078065,2.5296102832706118,1.6219528788484687,3.771820340418055,2.9166089412398386
4,1 keV,"Fixed Sym Gaussian 0.01""",0,30 deg FMS Tilt,GZ,20260205T000831Z_4_A_eff1_keV_MM_PSFFixed_Sym_Gaussian_0.01_Alignment0_Thermal30_deg_FMS_Tilt_Gravity_offloadGZ.xlsx,1.874503147110861,1.8603141290192897,1.8670538261203071,4.993013574689271,4.598651009814702,4.41329627752055
23,1 keV,"30% Variable Pseudo-Voigt 8"" (alpha 10%)",Standard medialario,30 deg FMS Tilt,0,20260205T000831Z_23_A_eff1_keV_MM_PSF30_Variable_Pseudo-Voigt_8_alpha_10_AlignmentStandard_medialario_Thermal30_deg_FMS_Tilt_Gravity_offload0.xlsx,0.7282692539313248,1.4963127390524202,2.7297283244966732,1.2868474716784335,1.4978207440966291,5.557807965547444
6,1 keV,"Fixed Sym Gaussian 0.01""",Standard medialario,0,GZ,20260205T000831Z_6_A_eff1_keV_MM_PSFFixed_Sym_Gaussian_0.01_AlignmentStandard_medialario_Thermal0_Gravity_offloadGZ.xlsx,1.9855294032189932,1.9913405208059562,1.9951385941323225,3.9685574974534954,3.9128277508805804,3.8970945710743674
16,1 keV,"10% Variable Pseudo-Voigt 8"" (alpha 10%)",Standard medialario,30 deg FMS Tilt,GZ,20260205T000831Z_16_A_eff1_keV_MM_PSF10_Variable_Pseudo-Voigt_8_alpha_10_AlignmentStandard_medialario_Thermal30_deg_FMS_Tilt_Gravity_offloadGZ.xlsx,1.1097801604136177,1.054513288906303,2.5022438792815564,1.4014963999787455,1.2248093587983244,2.5041519642635173
8,1 keV,"Fixed Sym Gaussian 0.01""",Standard medialario,30 deg FMS Tilt,GZ,20260205T000831Z_8_A_eff1_keV_MM_PSFFixed_Sym_Gaussian_0.01_AlignmentStandard_medialario_Thermal30_deg_FMS_Tilt_Gravity_offloadGZ.xlsx,1.2988521406595717,1.2811516048553309,1.260268038510451,2.960288774523308,2.9170135456677033,2.920897477293403
24,1 keV,"30% Variable Pseudo-Voigt 8"" (alpha 10%)",Standard medialario,30 deg FMS Tilt,GZ,20260205T000831Z_24_A_eff1_keV_MM_PSF30_Variable_Pseudo-Voigt_8_alpha_10_AlignmentStandard_medialario_Thermal30_deg_FMS_Tilt_Gravity_offloadGZ.xlsx,2.6466643771194196,0.6779100845396294,0.762125107130398,2.64880741252914,0.8914063024727732,1.558987685290609
